おきます	get up
ですから	therefore, so
どう　しましたか	what's the matter?
いたいです	have a pain
のど	throat
おだいじに	Take care of yourself.
できます	be able to, can
あらいます	wash
ひきます	play
うたいます	sing
あつめます	collect, gather
すてます	throw away
かえます	exchange, change
うんてんします	drive
よやくします	reserve, book
けんがくします	visit some place for study
ピアノ	piano
ーメートル	-meter
こくさい	international~
げんきん	cash
しゅみ	hobby
にっき	diary
おいのり	prayer
かちょう	section chief
ぶちょう	department chief
しゃちょう	president of a company
どうぶつ	animal
うま	horse
へえ	Really!
それは　おもしろいですね	That must be interesting
なかなか	not easily
ぼくじょう	ranch, stock farm
ほんとうですか	Really?
ぜひ	by all means
のぼります	climb(mountain)
とまります	stay(hotel)
そうじします	clean(room)
せんたくします	wash(clothes)
れんしゅうします	practice
なります	become
ねむい	sleepy
つよい	strong
よわい	weak
ちょうしが　いい	be in good condition
ちょうしが　わるい	be in bad condition
ちょうし	condition
ゴルフ	golf
すもう	sumo wrestling
パチンコ	pinball
おちゃ	tea ceremony
ひ	day,date
いちど	once
いちども	not once,never
だんだん	gradually
もうすぐ	soon
おかげさまで	thankyou
かんぱい	bottoms up,cheers
じつは	actually,to tell the truth
ダイエット	diet
なんかいも	many times
しかし	but,however
むり	excessive,impossible
からだに　いい	good for one's health
ケーキ	cake
いります	need,require
しらべます	check,investigate
なおします	repair,correct
しゅうりします	repair
でんわします	phone
ぼく	I
きみ	you
くん	Mr.
うん	yes
ううん	no
サラリーマン	salaried worker
ことば	word,language
ぶっか	commoditiy prices
きもの	kimono
ビザ	visa
はじめ	the beginning
おわり	the end
こっち	this way,this place
そっち	this way,that place
あっち	this way, that place over there
どっち	which one,where
このあいだ	the other day
みんなで	all together
けど	but
くにへ　かえるの	are you going back to your country
どう　するの	what will you do
どう　しようかな	what shall i do
よかったら	if you like
いろいろ	various
